citybuddy_commit=4f40cd2f0159b4c4118b9b3724235a0b3ddbd390
setup_window_utc=2026-09-02T12:28:55Z/2026-09-02T12:29:39Z
run_started_at_utc=2026-09-02T12:32:42Z
label=seckill_s1_4f40cd2_20260902T122838Z_spread activities=32 rates=50,100,200,400,800 step_seconds=15 gap_seconds=5 nominal_iterations=23250
fixture_users=25000 fixture_activities=32 fixture_quota=1000000 fixture_stock=2000000 topic_suffix=s1-spread-4f40cd2-20260902T122838Z
docker_cpus=8 docker_memory_bytes=14638391296 commerce_cpu_limit=4
k6_image=grafana/k6@sha256:5221b620a4f874faff6e32ba597aa667c058391fe4898b1c6f6377f062c6cdec

12:34:04 citybuddy-bench-k6 cpu=49.11% mem=424.6MiB / 13.63GiB
12:34:04 citybuddy-bench-commerce cpu=167.58% mem=513.8MiB / 13.63GiB
12:34:04 citybuddy-mysql-1 cpu=91.57% mem=916.8MiB / 13.63GiB
12:34:04 citybuddy-redis-commerce-1 cpu=6.12% mem=65.29MiB / 13.63GiB
12:34:09 citybuddy-bench-k6 cpu=37.84% mem=447.4MiB / 13.63GiB
12:34:09 citybuddy-bench-commerce cpu=103.19% mem=535.7MiB / 13.63GiB
12:34:09 citybuddy-mysql-1 cpu=72.74% mem=916.9MiB / 13.63GiB
12:34:09 citybuddy-redis-commerce-1 cpu=7.13% mem=68.85MiB / 13.63GiB
12:34:14 citybuddy-bench-k6 cpu=54.94% mem=449.4MiB / 13.63GiB
12:34:14 citybuddy-bench-commerce cpu=108.56% mem=525.9MiB / 13.63GiB
12:34:14 citybuddy-mysql-1 cpu=80.27% mem=917.3MiB / 13.63GiB
12:34:14 citybuddy-redis-commerce-1 cpu=5.81% mem=72.38MiB / 13.63GiB
12:34:19 citybuddy-bench-k6 cpu=0.00% mem=0B / 0B
12:34:19 citybuddy-bench-commerce cpu=10.14% mem=523.8MiB / 13.63GiB
12:34:19 citybuddy-mysql-1 cpu=3.48% mem=917.1MiB / 13.63GiB
12:34:19 citybuddy-redis-commerce-1 cpu=1.94% mem=75.19MiB / 13.63GiB

run_completed_at_utc=2026-09-02T12:34:24Z
