citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788212198	2026-08-31T21:36:38Z	citybuddy-bench-k6	4.28%	74.36MiB / 13.63GiB
1788212198	2026-08-31T21:36:38Z	citybuddy-bench-agent	135.51%	69.04MiB / 13.63GiB
1788212198	2026-08-31T21:36:38Z	citybuddy-bench-model	6.93%	38.36MiB / 13.63GiB
1788212198	2026-08-31T21:36:38Z	citybuddy-bench-auth	0.12%	299.4MiB / 13.63GiB
1788212198	2026-08-31T21:36:38Z	citybuddy-bench-commerce	0.13%	416.7MiB / 13.63GiB
1788212198	2026-08-31T21:36:38Z	citybuddy-bench-elasticsearch	121.67%	1024MiB / 13.63GiB
1788212198	2026-08-31T21:36:38Z	citybuddy-mysql-1	31.42%	1.398GiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-bench-k6	3.25%	78.92MiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-bench-agent	140.71%	71.33MiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-bench-model	6.91%	38.36MiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-bench-auth	0.07%	299.4MiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-bench-commerce	0.22%	416.7MiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-bench-elasticsearch	86.64%	1.005GiB / 13.63GiB
1788212200	2026-08-31T21:36:40Z	citybuddy-mysql-1	36.45%	1.398GiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-bench-k6	3.01%	85.61MiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-bench-agent	97.61%	71.19MiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-bench-model	6.13%	38.36MiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-bench-auth	0.10%	299.4MiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-bench-commerce	0.14%	416.7MiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-bench-elasticsearch	66.83%	1.006GiB / 13.63GiB
1788212202	2026-08-31T21:36:42Z	citybuddy-mysql-1	33.15%	1.398GiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-bench-k6	3.24%	89.79MiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-bench-agent	74.67%	71.64MiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-bench-model	5.76%	38.36MiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-bench-auth	0.08%	299.4MiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-bench-commerce	0.16%	416.7MiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-bench-elasticsearch	75.97%	1.007GiB / 13.63GiB
1788212204	2026-08-31T21:36:44Z	citybuddy-mysql-1	33.87%	1.398GiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-bench-k6	2.97%	90.06MiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-bench-agent	61.22%	72.09MiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-bench-model	5.49%	38.36MiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-bench-auth	0.07%	299.4MiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-bench-commerce	1.02%	416.7MiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-bench-elasticsearch	74.18%	1.01GiB / 13.63GiB
1788212206	2026-08-31T21:36:46Z	citybuddy-mysql-1	31.34%	1.398GiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-bench-k6	2.54%	90.5MiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-bench-agent	41.15%	72.48MiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-bench-model	4.02%	38.61MiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-bench-auth	0.09%	299.4MiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-bench-commerce	0.24%	416.6MiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-bench-elasticsearch	40.78%	1.017GiB / 13.63GiB
1788212208	2026-08-31T21:36:48Z	citybuddy-mysql-1	21.73%	1.398GiB / 13.63GiB
