citybuddy_commit=c049ac305b607b46c9e545473d01063f7ea96339
setup_window_utc=2026-09-02T12:04:39Z/2026-09-02T12:05:21Z
run_started_at_utc=2026-09-02T12:09:47Z
label=seckill_s1_c049ac3_20260902T120426Z_spread activities=32 rates=50,100,200,400,800 step_seconds=15 gap_seconds=5 nominal_iterations=23250
fixture_users=25000 fixture_activities=32 fixture_quota=1000000 fixture_stock=2000000 topic_suffix=s1-spread-c049ac3-20260902T120426Z
docker_cpus=8 docker_memory_bytes=14638391296 commerce_cpu_limit=4
k6_image=grafana/k6@sha256:5221b620a4f874faff6e32ba597aa667c058391fe4898b1c6f6377f062c6cdec

12:11:09 citybuddy-bench-k6 cpu=35.92% mem=409MiB / 13.63GiB
12:11:09 citybuddy-bench-commerce cpu=126.52% mem=530.3MiB / 13.63GiB
12:11:09 citybuddy-mysql-1 cpu=67.52% mem=858.2MiB / 13.63GiB
12:11:09 citybuddy-redis-commerce-1 cpu=6.43% mem=62.76MiB / 13.63GiB
12:11:14 citybuddy-bench-k6 cpu=32.83% mem=447.7MiB / 13.63GiB
12:11:14 citybuddy-bench-commerce cpu=96.36% mem=526.5MiB / 13.63GiB
12:11:14 citybuddy-mysql-1 cpu=64.91% mem=858.2MiB / 13.63GiB
12:11:14 citybuddy-redis-commerce-1 cpu=4.70% mem=66.98MiB / 13.63GiB
12:11:19 citybuddy-bench-k6 cpu=31.48% mem=449.6MiB / 13.63GiB
12:11:19 citybuddy-bench-commerce cpu=80.72% mem=561.3MiB / 13.63GiB
12:11:19 citybuddy-mysql-1 cpu=65.15% mem=859MiB / 13.63GiB
12:11:19 citybuddy-redis-commerce-1 cpu=22.41% mem=71.2MiB / 13.63GiB
12:11:24 citybuddy-bench-k6 cpu=0.00% mem=0B / 0B
12:11:24 citybuddy-bench-commerce cpu=10.47% mem=559.5MiB / 13.63GiB
12:11:24 citybuddy-mysql-1 cpu=0.55% mem=858.5MiB / 13.63GiB
12:11:24 citybuddy-redis-commerce-1 cpu=1.20% mem=73.27MiB / 13.63GiB

run_completed_at_utc=2026-09-02T12:11:29Z
